ID,latitude,longitude,district,address_offers,agent_offers,subway_offers,closest_subway,dist_to_subway,subway_grade,subway_dist_to_center,rooms,floor,max_floor,footage,material,repair,price,category_age
MAL2617,55.70241,37.940178,UVAO,1.0,,18.0,Dmitrievskaya,763.0,Underground,20323.0,One Room,9.0,,40.0,panel,Good,8200000.0,Young buildings
MAL228,55.7093405,37.76472800000001,UVAO,1.0,1.0,15.0,Kiyevskaya,437.0,Underground,10612.0,Two Room,9.0,17.0,66.0,monolith,Excellent,14000000.0,Middle-aged buildings
MAL8415,55.820905,37.579699,SVAO,1.0,1.0,12.0,Vystavochny Tsentr,319.0,Underground,7829.0,One Room,3.0,9.0,32.5,block,Excellent,9100000.0,Old buildings
MAL3008,55.69156410000001,37.8063392,UVAO,1.0,1.0,11.0,Kashirskaya,2234.0,Underground,13469.0,Two Room,6.0,14.0,37.9,block,Poor,7600000.0,Old buildings
MAL1690,55.6755697,37.6825939,UAO,1.0,1.0,12.0,Izmaylovskaya,1201.0,Underground,8849.0,Two Room,12.0,,42.0,block,Enough,10300000.0,Old buildings
MAL2029,55.8146,37.811546,,1.0,9.0,,,977.0,Underground,13108.0,Two Room,9.0,9.0,44.2,panel,Enough,7500000.0,Old buildings
MAL8943,,37.36164,ZAO,1.0,1.0,12.0,Polyanka,,Underground,20688.0,One Room,,14.0,40.0,panel,Enough,7600000.0,Middle-aged buildings
MAL9447,55.64768100000001,37.730562,UVAO,3.0,1.0,,,1202.0,Underground,13657.0,,,,38.0,monolith,,9300000.0,Middle-aged buildings
MAL5113,55.85378539999999,37.50356220000001,,1.0,1.0,,Universitet,1832.0,Underground,14800.0,,,5.0,42.9,panel,Enough,8450000.0,Old buildings
MAL1332,55.68891800000001,37.552822,UZAO,1.0,1.0,10.0,,,Underground,7728.0,One Room,2.0,14.0,34.9,brick,Good,11600000.0,Old buildings
MAL3150,55.8475651,37.628212,SVAO,2.0,16.0,8.0,Kommunarka,706.0,Underground,10400.0,,8.0,24.0,40.3,monolith,Good,13500000.0,Young buildings
MAL5587,55.6331051,37.677427,,1.0,1.0,,Otradnoye,,Suburban rail,13264.0,,2.0,12.0,45.0,panel,,8200000.0,Old buildings
MAL3086,55.696995,37.822872,UVAO,1.0,1.0,,Kashirskaya,1558.0,Underground,13469.0,Two Room,5.0,9.0,44.0,monolith,Enough,7500000.0,Old buildings
MAL2900,55.71153,37.4788855,ZAO,1.0,146.0,6.0,Perovo,,Underground,8012.0,Two Room,6.0,14.0,52.4,panel,Good,12500000.0,Middle-aged buildings
MAL1499,,37.7378071,VAO,1.0,1.0,1.0,,525.0,Underground,,,3.0,5.0,31.0,brick,Enough,7000000.0,Old buildings
MAL7229,55.63061999999999,37.59834,UAO,2.0,218.0,4.0,Kaluzhskaya,1131.0,Underground,14441.0,,6.0,17.0,55.0,monolith,Good,11990000.0,Old buildings
MAL2522,55.70822800000001,37.9427739,UVAO,3.0,1.0,25.0,Dmitrievskaya,1093.0,Underground,20323.0,Two Room,,14.0,56.5,panel,Enough,7940000.0,Young buildings
MAL1407,55.8025055,37.54813970000001,SAO,1.0,1.0,,Tsaritsyno,463.0,Suburban rail,7089.0,Two Room,4.0,5.0,40.0,brick,Enough,9000000.0,Old buildings
